sim_time,speed_m_s
3.244478,0.225966
3.290825,0.625890
3.327115,1.018784
3.358024,1.348871
3.391245,1.693223
3.425178,2.081648
3.458854,2.394627
3.491910,2.706193
3.526393,3.012468
3.561825,0.349284
3.596518,0.103655
3.629403,0.051110
3.664854,0.134535
3.700655,0.106247
3.734601,0.057757
3.767684,0.041312
3.800457,0.032608
3.832913,0.017596
3.869256,0.008495
3.905307,0.011832
3.937574,0.013971
3.975960,0.024623
4.009508,0.010357
4.046059,0.021681
4.080704,0.010063
4.118251,0.012673
4.149737,0.018783
4.183754,0.014633
4.214485,0.020403
4.252264,0.027523
4.285284,0.022727
4.316186,0.009690
4.349001,0.010411
4.383726,0.025254
4.417824,0.017155
4.451426,0.005831
4.482622,0.022016
4.519938,0.013567
4.554996,0.006253
4.589630,0.001233
4.624500,0.001963
4.657616,0.003794
4.690783,0.002209
4.723542,0.001535
4.756667,0.001598
4.794211,0.001157
4.825671,0.000000
4.862924,0.000519
4.897091,0.000201
4.927085,0.000772
4.961885,0.000052
4.994832,0.000033
5.029599,0.000595
5.059548,0.003676
5.097648,0.000371
5.127989,0.000040
5.164752,0.000728
5.194422,0.001621
5.230701,0.000011
5.264186,0.000196
5.296395,0.000758
5.331079,0.000020
5.362033,0.000701
5.394611,0.004111
5.428493,0.000628
5.462703,0.000503
5.495535,0.000502
5.532264,0.000508
5.567761,0.000868
5.598688,0.001068
5.632412,0.001307
5.661345,0.002436
5.700951,0.000785
5.734369,0.000585
5.765251,0.000435
5.800107,0.001442
5.832264,0.002630
5.866963,0.001603
5.899904,0.000748
5.931745,0.000354
5.966620,0.000245
6.000169,0.000522
6.031090,0.002955
6.067342,0.000120
6.100842,0.000293
6.136331,0.000301
6.166961,0.000250
6.201754,0.000534
6.234697,0.000278
6.268851,0.000003
6.300496,0.000351
6.333681,0.001046
6.369459,0.000052
6.403422,0.001060
6.434376,0.000717
6.471886,0.000148
6.505434,0.003182
6.539104,0.000746
6.570374,0.000090
6.604125,0.000046
6.634609,0.001250
6.668233,0.000102
6.702837,0.000268
6.737600,0.000206
6.769578,0.000487
6.804122,0.001718
6.837634,0.000106
6.868770,0.001045
6.903988,0.006554
6.936728,0.227970
6.972339,0.391255
7.005042,0.356356
7.035349,0.415560
7.072884,0.458767
7.111274,0.434026
7.145438,0.448913
7.176493,0.462305
7.212893,0.500282
7.246679,0.533261
7.281507,0.563692
7.314171,0.607047
7.347722,0.676033
7.380229,0.737051
7.414203,0.797151
7.447377,0.862410
7.478801,0.911054
7.512737,0.976420
7.546877,1.040667
7.578307,1.108092
7.612239,1.181160
7.646358,1.219154
7.677951,1.286493
7.710616,1.352188
7.745048,1.390508
7.776966,1.454800
7.813536,1.503865
7.845937,1.576184
7.881621,1.611208
7.917355,1.671516
7.947806,1.716652
7.981530,1.775523
8.016312,1.812660
8.049076,1.873691
8.083395,1.906953
8.122149,1.968696
8.151997,1.988773
8.186882,2.052329
8.220529,2.384417
8.253073,2.495601
8.286216,2.637742
8.320395,2.768834
8.353745,2.807586
8.387296,2.780030
8.420157,2.828619
8.453705,2.846058
8.488007,2.905593
8.522650,2.937412
8.555345,3.006097
