epoch,val_mse,val_mae
1,0.09194173850119114,0.2748929038643837
2,0.028029215056449175,0.15001757815480232
3,0.004186401260085404,0.048792299814522266
4,0.0025076442980207503,0.035735903307795525
5,0.0020643414463847876,0.03259409684687853
6,0.001733273093122989,0.028345325961709023
7,0.0023779732873663306,0.04059707559645176
8,0.0013934550224803388,0.02574432361871004
9,0.001241178106283769,0.024723618756979704
10,0.001407517062034458,0.028658347204327583
11,0.0011758154432754964,0.025356038939207792
12,0.0010137448261957616,0.023069914896041155
13,0.0007684965967200696,0.0216232780367136
14,0.0011651416716631502,0.02691741567105055
15,0.0005660866590915248,0.016075574327260256
16,0.0013209809258114547,0.02893453696742654
17,0.001200057624373585,0.030244912952184677
18,0.001582946628332138,0.03529571741819382
19,0.0005966073149465956,0.0198530787602067
20,0.0006414371746359393,0.018667698837816715
21,0.001396470790496096,0.026926811784505844
22,0.0011225011548958719,0.029825069941580296
23,0.0004181075346423313,0.015088820829987526
24,0.0004896048558293842,0.016824717167764902
25,0.0012828370090574026,0.03220950486138463
26,0.0006296639767242596,0.01689646323211491
27,0.000548476520634722,0.017690429463982582
28,0.0002799799731292296,0.011078352341428399
29,0.00046345695591298863,0.01794782606884837
30,0.0006774310313630849,0.022784842643886805
31,0.0016744494496379048,0.0373540073633194
32,0.0002987910993397236,0.01193608739413321
33,0.00040598345367470756,0.013603733852505684
34,0.00018821408957592212,0.009880329016596079
35,0.0003652834056993015,0.016005193116143346
36,0.0004116192358196713,0.017665048129856586
37,0.00024627516177133657,0.011456623673439026
38,0.00045787338603986427,0.01793377660214901
39,0.0012754826748277992,0.03127317409962416
40,0.0008594980172347277,0.024789984803646803
41,0.0007974391774041578,0.02372229564934969
42,0.0001844417565735057,0.010535009205341339
43,0.0004084957472514361,0.01741997106000781
44,0.00018891310901381075,0.00962830288335681
45,0.00017626219414523803,0.009145430289208889
46,0.0001680261811998207,0.0106016774661839
47,0.00027716880867956206,0.012905035400763154
48,0.0007787792128510773,0.025475698988884687
49,0.00045214548299554735,0.018373010214418173
50,0.0003379530753591098,0.013655556365847588
51,0.0005837345961481333,0.0189879285171628
52,0.0002438149276713375,0.012925393646582961
53,0.00022694877407047898,0.012932267040014267
54,0.00041073039756156504,0.017681993544101715
55,0.0003376417080289684,0.01639733836054802
56,0.0003751184049178846,0.01731834700331092
57,0.000683661870425567,0.020878068171441555
58,0.00014398147322935984,0.009010337525978684
59,0.000726002239389345,0.024554020259529352
60,0.00027190856053493917,0.014354205457493663
61,0.0004361551909823902,0.014537516050040722
62,0.0005440201930468902,0.020557512063533068
63,0.00014170745271258056,0.008880874374881387
64,0.0006370987393893301,0.01959884073585272
65,0.00032648705382598564,0.014032619073987007
66,0.0002386635824223049,0.01090992521494627
67,0.0004095207041245885,0.01573831378482282
68,0.0001710622527753003,0.008616978069767356
69,0.0003380869602551684,0.013978614704683423
70,0.0002693760543479584,0.013721545925363898
