epoch,val_mse,val_mae
1,0.02472977521584222,0.12224352398985311
2,0.016396007892724714,0.09878465572470113
3,0.015091889880989728,0.09324374128329127
4,0.014192959146672174,0.08816938415953987
5,0.013148299050762466,0.08287139785917182
6,0.016099830844292517,0.09966375482709784
7,0.013272368324626433,0.0851844321740301
8,0.012980398820026925,0.08487307907719362
9,0.012053797462661015,0.081711177763186
10,0.011903605619935613,0.07840852243335623
11,0.011598255362753806,0.07708936674814475
12,0.011390892494665949,0.07581091868249994
13,0.011211280980588574,0.07510221004486084
14,0.011116218802176024,0.07531995796843578
15,0.011033074636208383,0.0753581963087383
16,0.011861187283341823,0.07881516963243484
17,0.011183548890250293,0.07334661366123903
18,0.011287123945198561,0.07487669783203225
19,0.011260247838340308,0.07617189284217984
20,0.011369647066059866,0.07545973282111318
21,0.010862771348145447,0.07316558259098153
22,0.010941073004352419,0.07335973727075677
23,0.010923785451603564,0.07278265431523323
24,0.011498285580034318,0.07444523745461513
25,0.011343057120316908,0.07493699145944495
26,0.010873477734429272,0.07238638244177166
27,0.012131008540133112,0.07747403806761692
28,0.010808214422707496,0.07177214559755828
29,0.012075283932254502,0.07730162339775186
30,0.011109945829957724,0.07389843405077332
31,0.011051778681576252,0.07388287410140038
32,0.011227301468974665,0.07341415278221432
33,0.011241630700073744,0.07379337713906639
34,0.01162015394258656,0.0755554210198553
35,0.011147564203527412,0.07377700605674793
36,0.011024342016562036,0.07294236496090889
