epoch,val_mse,val_mae
1,0.05948219704441726,0.18933659605681896
2,0.015474419458769262,0.09876732667908072
3,0.012308886798564345,0.08492739545181394
4,0.01039703720016405,0.0764969983138144
5,0.010027804179117084,0.07454146491363645
6,0.009515375888440758,0.07229923503473401
7,0.00981567770941183,0.07490293448790908
8,0.010151296388357878,0.07378565706312656
9,0.00882329125306569,0.06882143812254071
10,0.008718915079953149,0.06694698799401522
11,0.008080059051280841,0.06607833527959883
12,0.007811313058482483,0.06479383306577802
13,0.007859974051825702,0.06684623309411108
14,0.007321768644033,0.062327693682163954
15,0.00677109626121819,0.05974803608842194
16,0.006811565574025735,0.06241360097192228
17,0.00681082799565047,0.06093006348237395
18,0.005925423378357664,0.05645975563675165
19,0.005906506645260379,0.05745363258756697
20,0.005903904850129038,0.05719694122672081
21,0.005124259478179738,0.05295449891127646
22,0.0053186902950983495,0.05357249919325113
23,0.005077253474155441,0.053084680112078786
24,0.0049697981448844075,0.053078857716172934
25,0.0048491441120859236,0.05204105540178716
26,0.004340941784903407,0.04944738419726491
27,0.0042846266442211345,0.048941012704744935
28,0.0040696231299079955,0.04660852556116879
29,0.00418606361199636,0.04777311137877405
30,0.004114523879252374,0.04847334139049053
31,0.004013885525637306,0.046488848282024264
32,0.003676327338325791,0.04523241799324751
33,0.003218562647816725,0.04159106593579054
34,0.003508395195240155,0.04405047954060137
35,0.0034725246077869087,0.044825614197179675
36,0.0035709409130504355,0.04439097596332431
37,0.0032801817869767547,0.04281896189786494
38,0.0029781152261421084,0.04009334882721305
39,0.0030026653985260054,0.040633403696119785
40,0.0028703680000035092,0.039387215161696076
41,0.002792163271806203,0.038911634823307395
42,0.0025271776685258374,0.03666364517994225
43,0.002559378946898505,0.03672458836808801
44,0.002533860824769363,0.0366267841309309
45,0.002507897632312961,0.03611631679814309
46,0.0027592341357376426,0.03884866554290056
47,0.0023830057616578415,0.035383830312639475
48,0.002215913526015356,0.0341571846511215
49,0.00241795954934787,0.035678370390087366
50,0.0022400885791284963,0.03431751998141408
51,0.0023002184025244787,0.03449176740832627
52,0.002106167004967574,0.03254132007714361
53,0.0021087776258355007,0.03299508278723806
54,0.002153493682271801,0.03307208779733628
55,0.001955671075847931,0.03125215321779251
56,0.0020245539126335643,0.03201258764602244
57,0.002059369369817432,0.03191109118051827
58,0.0018665898605831899,0.030953574227169156
59,0.0018704817193793133,0.03055783302988857
60,0.001962797912710812,0.03071161441039294
61,0.0018676164472708479,0.03036385925952345
62,0.0017906684515764937,0.02958237216807902
63,0.0018582715856609866,0.030192407546564937
64,0.0017541843917570077,0.029035436687991023
65,0.0018078145803883672,0.029669400886632502
66,0.0016642498012515716,0.0280414130538702
67,0.0017973322537727654,0.029523885110393167
68,0.001763453103194479,0.0289363773772493
69,0.001853173722338397,0.029652012046426535
70,0.0017870600640890189,0.029201900120824575
71,0.0018810934416251257,0.03048078832216561
72,0.0016892460262170061,0.028117198147810996
73,0.0017298192979069427,0.028341200901195407
74,0.0016566933554713614,0.027407161658629775
75,0.0016216694202739745,0.027273711864836514
76,0.0016509838387719356,0.027690634015016258
77,0.0018540440141805448,0.029153120471164584
78,0.0015859954874031246,0.02709342143498361
79,0.0015809301403351128,0.02664571558125317
80,0.0015880069477134384,0.02694960730150342
81,0.0015436013927683234,0.025969846406951547
82,0.0015354627612396143,0.02571776125114411
83,0.0016724188171792775,0.027052748249843717
84,0.0016474944786750712,0.027088429196737707
85,0.0015684032696299255,0.026210528681986034
86,0.0016121324224513955,0.026501186774112284
87,0.0015025381071609445,0.02549026405904442
88,0.00164517063240055,0.027362799970433116
89,0.0015712926178821363,0.026355432462878525
90,0.0016583103497396223,0.027243346092291176
91,0.0015398704199469648,0.026043202844448388
92,0.0016014391294447705,0.026439903886057436
93,0.0017151177889900282,0.027486498118378222
94,0.0016027081655920483,0.026670286199077964
95,0.0015469577265321277,0.025788489147089422
96,0.0015105519778444432,0.025440012221224606
97,0.0015071240777615458,0.025333603261969984
98,0.0015668249689042568,0.026088260696269572
99,0.001440621301298961,0.024624058860354125
100,0.0015445136959897354,0.02549159387126565
