sim_time,speed_m_s
0.000000,0.234499
0.045401,0.646212
0.080186,0.965846
0.113475,1.336217
0.146136,1.583760
0.182090,1.921772
0.214184,2.244031
0.246457,2.593618
0.282347,2.973284
0.314849,0.841303
0.346292,0.301893
0.386866,0.209330
0.421632,0.108369
0.452928,0.028825
0.488222,0.072868
0.522055,0.166856
0.556884,0.283653
0.586349,0.335001
0.621094,0.090021
0.657025,0.041710
0.691328,0.015554
0.723315,0.028905
0.759466,0.015985
0.794407,0.008335
0.827733,0.013844
0.863814,0.016374
0.896023,0.003476
0.929851,0.005174
0.966028,0.020039
0.998070,0.010805
1.031980,0.014106
1.066196,0.011643
1.097753,0.012985
1.127503,0.001778
1.163900,0.006366
1.195887,0.006031
1.230309,0.005523
1.265554,0.010678
1.296301,0.012379
1.332361,0.001779
1.364455,0.000000
1.396298,0.000000
1.429653,0.000000
1.462668,0.000000
1.495885,0.000000
1.530023,0.000000
1.562518,0.000000
1.596886,0.000000
1.628096,0.000000
1.663165,0.000000
1.695268,0.000000
1.728981,0.000000
1.762220,0.000000
1.795327,0.000000
1.830603,0.000000
1.865863,0.000000
1.898163,0.000000
1.933082,0.000000
1.967130,0.000000
1.999023,0.002023
2.031799,0.000182
2.066736,0.000507
2.102003,0.000379
2.131955,0.000517
2.168643,0.000076
2.201585,0.000382
2.235812,0.000032
2.267628,0.000472
2.299885,0.000157
2.333569,0.000250
2.365164,0.000108
2.401261,0.000000
2.435906,0.000077
2.470080,0.000769
2.507954,0.001428
2.537598,0.000255
2.572886,0.000077
2.606711,0.001420
2.638935,0.000531
2.671657,0.001602
2.705593,0.001068
2.739243,0.001156
2.769569,0.001075
2.806650,0.000307
2.841855,0.000233
2.875012,0.000768
2.908417,0.000482
2.942687,0.000864
2.974139,0.000216
3.006492,0.000052
3.041053,0.000363
3.075727,0.000320
3.108772,0.000574
3.143504,0.000312
3.175726,0.000375
3.209844,0.000307
3.242714,0.000633
3.276555,0.000706
3.310855,0.000586
3.345715,0.000506
3.378869,0.000675
3.412655,0.001290
3.447196,0.000001
3.480793,0.001141
3.513045,0.000385
3.547835,0.000210
3.580100,0.000330
3.615781,0.000568
3.645650,0.000011
3.682094,0.000927
3.715977,0.002525
3.748926,0.000889
3.781639,0.000590
3.813002,0.000190
3.849597,0.002030
3.882048,0.001517
3.917544,0.000323
3.949756,0.000257
3.983572,0.001030
4.018059,0.000557
4.051136,0.000503
4.081845,0.001037
4.115374,0.000087
4.147966,0.000181
4.183567,0.001002
4.215199,0.000867
4.247079,0.000803
4.281384,0.000027
4.312416,0.000013
4.346064,0.000189
4.379436,0.001872
4.413318,0.001322
4.448935,0.000373
4.478872,0.002983
4.513029,0.000476
4.548300,0.001458
4.582725,0.000154
4.616641,0.000706
4.649175,0.000550
4.683847,0.002829
4.717015,0.001117
4.750707,0.001126
4.783902,0.000323
4.817426,0.002274
4.846852,0.003918
4.885906,0.001663
4.917212,0.001539
4.952972,0.000146
4.987439,0.000437
5.021151,0.000296
5.051953,0.000146
5.086719,0.003355
5.117271,0.000568
5.153163,0.000243
5.184162,0.001666
5.218535,0.000309
5.251938,0.000364
5.283930,0.001883
5.323465,0.000551
5.355724,0.002143
5.392008,0.000390
5.426348,0.000888
5.461941,0.000038
5.493303,0.002163
5.528019,0.001873
5.559021,0.000155
5.592569,0.000187
5.627980,0.000226
5.658174,0.000434
5.690934,0.000375
5.727250,0.000467
5.760812,0.001024
5.795314,0.000802
5.827643,0.000464
5.862779,0.000201
5.893497,0.000618
5.927952,0.002154
5.963048,0.002690
5.996641,0.000664
6.030086,0.002592
6.064062,0.000271
6.095718,0.000470
6.133685,0.000392
6.165661,0.000506
6.198210,0.000543
6.231537,0.000327
6.266642,0.000098
6.299851,0.000766
6.333204,0.004041
6.366743,0.000790
6.403483,0.000153
6.435285,0.000968
6.470524,0.001649
6.500775,0.000902
6.535963,0.002509
6.571203,0.000580
6.605974,0.000350
6.637711,0.193774
6.672783,0.316846
6.704104,0.365872
6.740726,0.385383
6.772735,0.382062
6.807592,0.379937
6.838636,0.379223
6.876399,0.424658
6.907356,0.479368
6.940808,0.484637
6.973758,0.498563
7.007657,0.518179
7.036287,0.543248
7.071547,0.569395
7.106301,0.591351
7.142019,0.612820
7.170693,0.628246
7.205862,0.643637
7.240825,0.677085
7.271762,0.695495
7.304164,0.725421
7.339098,0.740574
7.373802,0.766871
7.407743,0.803149
7.442268,0.826840
7.477114,0.851670
7.508720,0.896030
7.542324,0.917975
7.575237,0.977709
7.609673,1.024907
7.639027,1.046857
7.675447,1.098702
7.711689,1.108909
7.745098,1.156722
7.778111,1.182686
7.807245,1.230450
7.843642,1.243984
7.876189,1.266539
7.910808,1.317806
7.943250,1.332133
7.974748,1.363412
8.008905,1.380378
8.042051,1.420783
8.075048,1.432600
8.110512,1.455634
8.141113,1.466551
8.176044,1.497564
8.207092,1.513668
8.241179,1.523488
8.275061,1.536814
8.305958,1.555169
8.343872,1.564822
8.378492,1.567038
8.411242,1.579963
8.445187,1.579576
8.479193,1.587671
8.512483,1.602832
8.549998,1.611317
8.582772,1.617894
8.615775,1.624182
8.646807,1.616409
8.683733,1.624517
8.716428,1.618275
8.748817,1.620602
8.783386,1.623747
8.816455,1.599870
8.849943,1.594105
8.883500,1.561162
8.915344,1.535200
8.947905,1.518613
8.979602,1.495903
9.015918,1.492674
9.048612,1.465480
9.081074,1.459626
9.114782,1.443730
9.148343,1.439271
9.179730,1.415787
9.212893,1.421603
9.246551,1.396752
9.279172,1.375096
9.314935,1.358624
9.346265,1.349561
9.381242,1.344157
9.414539,1.334364
9.448259,1.327201
9.479434,1.316232
9.513109,1.308857
9.543167,1.295898
9.578383,1.296829
9.614240,1.295462
9.646891,1.292548
9.682031,1.295651
9.715286,1.276462
9.747633,1.288072
9.776876,1.286957
9.817187,1.287580
9.848403,1.272952
9.881801,1.277437
9.917500,1.293631
9.947127,1.262951
9.980200,1.274700
10.016093,1.265208
10.049990,1.279780
10.083042,1.262073
10.113686,1.254467
10.144715,1.269328
10.180292,1.261315
10.211442,1.267021
10.247248,1.268683
10.277988,1.252725
10.310967,1.249863
10.346703,1.253323
10.380545,1.271380
10.413262,1.277387
10.446978,1.256227
10.481765,1.252515
10.511674,1.240826
10.547886,1.237913
10.577800,1.233125
10.613302,1.232139
10.648733,1.244163
10.683573,1.234120
10.720545,1.240707
10.752313,1.234400
10.784655,1.260915
10.825374,1.236893
10.857204,1.263294
10.889789,1.263863
10.922365,1.269167
10.959262,1.268430
10.993362,1.284420
11.022887,1.287949
11.058717,1.299417
11.090008,1.318833
11.123875,1.312272
11.159824,1.329038
11.191130,1.313575
11.225226,1.361701
11.258007,1.336793
11.292374,1.334514
11.326854,1.350495
11.359383,1.367002
11.395888,1.372273
11.428498,1.355776
11.461827,1.369887
11.497217,1.391323
11.527244,1.386006
11.563058,1.374257
11.596644,1.381130
11.632973,1.356797
11.668082,1.350685
11.701433,1.347723
11.731773,1.334090
11.766010,1.308264
11.801828,1.312596
11.836146,1.294514
11.866043,1.291692
11.903020,1.271874
11.936009,1.258256
11.969400,1.233501
12.001730,1.220548
12.035353,1.210329
12.069455,1.201530
12.101143,1.198176
12.136339,1.209029
12.168331,1.199182
12.201489,1.184707
12.234254,1.197280
12.268693,1.194825
12.303140,1.183774
12.334953,1.178010
12.367522,1.183389
12.401530,1.181535
12.433610,1.183172
12.465881,1.192402
12.500156,1.194288
12.535201,1.204309
12.566889,1.202661
12.601950,1.216019
12.636174,1.242101
12.670918,1.244530
12.706005,1.271270
12.738325,1.278648
12.771167,1.297262
12.806643,1.316136
12.839140,1.319457
12.873735,1.347707
12.905831,1.359673
12.938922,1.366509
12.973018,1.380732
13.010541,1.407722
13.041842,1.422726
13.076027,1.435517
13.110108,1.453137
13.142597,1.481777
13.176183,1.487599
13.210210,1.505522
13.240045,1.505776
13.274887,1.522544
13.308763,1.533914
13.340686,1.555167
13.377496,1.555864
13.415078,1.597091
13.447737,1.597334
13.480817,1.610410
13.513063,1.611657
13.547226,1.631842
13.580481,1.634534
13.611618,1.658758
13.647008,1.652916
13.680424,1.671453
13.713853,1.683820
13.746315,1.685750
13.782175,1.704033
13.816039,1.706327
13.846100,1.715511
13.882816,1.733826
13.917477,1.744882
13.951711,1.743721
13.980062,1.737578
14.016106,1.756568
14.051929,1.762433
14.086573,1.788996
14.120285,1.760481
14.154236,1.758694
14.185406,1.738508
14.220342,1.701732
14.255619,1.695981
14.289047,1.673561
14.320807,1.655681
14.352542,1.643610
14.387502,1.619234
14.420197,1.606058
14.454647,1.583552
14.488203,1.575909
14.522702,1.531212
14.552971,1.517336
14.585884,1.499784
14.616898,1.493537
14.651535,1.489728
14.685641,1.450350
14.717427,1.442582
14.752097,1.422215
14.784424,1.402931
14.815993,1.386301
14.851241,1.376953
14.886451,1.371184
14.920804,1.348903
14.956544,1.349894
14.988949,1.315865
15.023331,1.307614
15.056060,1.294712
15.092232,1.292001
