sim_time,speed_m_s
0.000985,0.063316
0.034300,0.471107
0.066132,0.750148
0.099385,1.122496
0.135083,1.544042
0.167103,1.821499
0.207207,2.134059
0.237857,2.491459
0.270043,2.798304
0.306212,1.027678
0.338752,0.190583
0.371709,0.097325
0.403251,0.044879
0.446375,0.190122
0.479693,0.102480
0.509639,0.056775
0.549671,0.027860
0.582772,0.014772
0.615344,0.023568
0.650093,0.025493
0.681246,0.008634
0.714469,0.011696
0.751944,0.015981
0.783627,0.016092
0.816748,0.005902
0.849379,0.007277
0.885479,0.003947
0.919974,0.014755
0.951081,0.009640
0.989476,0.004455
1.023252,0.000000
1.055306,0.000000
1.089652,0.000000
1.124481,0.000000
1.158644,0.000000
1.188182,0.000000
1.227355,0.000000
1.261641,0.000000
1.292950,0.000000
1.325286,0.000000
1.362021,0.000000
1.393857,0.000000
1.426758,0.000000
1.462124,0.000000
1.494986,0.000000
1.527200,0.000000
1.561151,0.000000
1.593332,0.000000
1.628615,0.000000
1.666175,0.000000
1.699072,0.000000
1.731962,0.000000
1.765850,0.000000
1.800568,0.000000
1.832431,0.000000
1.867917,0.000000
1.899755,0.000802
1.936521,0.001026
1.966946,0.000858
2.003947,0.000999
2.038917,0.000426
2.069680,0.000622
2.106029,0.001161
2.138095,0.000410
2.173126,0.000086
2.202565,0.002669
2.239855,0.000570
2.270207,0.000000
2.305985,0.001088
2.338331,0.001163
2.369920,0.001725
2.405683,0.000628
2.438212,0.000558
2.470859,0.000071
2.507983,0.000253
2.540411,0.000117
2.575341,0.000927
2.608224,0.000146
2.641166,0.001667
2.672140,0.002789
2.708220,0.001684
2.739496,0.000094
2.773847,0.000228
2.805610,0.000511
2.842492,0.003054
2.872517,0.001428
2.907786,0.000521
2.938589,0.000848
2.972887,0.000266
3.005038,0.000217
3.036785,0.000301
3.072590,0.000854
3.104695,0.000642
3.137904,0.000180
3.170332,0.001210
3.204731,0.002125
3.238952,0.000023
3.270266,0.000607
3.306828,0.000009
3.339882,0.001166
3.370157,0.000403
3.403963,0.000332
3.437431,0.000032
3.469690,0.000703
3.504545,0.000080
3.538668,0.000617
3.572717,0.005822
3.604717,0.001833
3.643134,0.000900
3.673816,0.000943
3.710267,0.001255
3.740936,0.003448
3.772885,0.000763
3.809565,0.000345
3.842452,0.000458
3.879172,0.001834
3.909358,0.002616
3.943903,0.001739
3.975752,0.001705
4.010899,0.000903
4.045897,0.000332
4.076433,0.002691
4.111922,0.000462
4.144445,0.000122
4.179722,0.000421
4.212642,0.000029
4.245667,0.000438
4.279687,0.000790
4.312114,0.001021
4.347016,0.001714
4.379473,0.001697
4.411456,0.000351
4.442564,0.000566
4.478822,0.001590
4.511608,0.001659
4.543803,0.002920
4.579181,0.002434
4.611897,0.001013
4.645699,0.000180
4.675471,0.002104
4.710412,0.000361
4.746906,0.002142
4.780491,0.001148
4.816525,0.000714
4.847138,0.000561
4.885561,0.002365
4.918752,0.001687
4.952436,0.001074
4.984906,0.000993
5.016343,0.000783
5.049375,0.001533
5.081002,0.003167
5.117597,0.000552
5.151487,0.000522
5.185412,0.000749
5.218190,0.000111
5.251031,0.000273
5.283887,0.003063
5.318774,0.001007
5.352416,0.000950
5.384027,0.001725
5.417801,0.000296
5.452195,0.001038
5.481804,0.001379
5.520540,0.000171
5.552726,0.000481
5.584997,0.000270
5.619380,0.000535
5.652286,0.000067
5.686242,0.001684
5.719875,0.000584
5.754214,0.000594
5.786353,0.000818
5.818977,0.001010
5.854720,0.000793
5.888361,0.004232
5.920295,0.000892
5.951048,0.000503
5.986163,0.001662
6.022524,0.001554
6.055257,0.000468
6.086031,0.002612
6.120659,0.001288
6.152690,0.000881
6.187953,0.201631
6.220997,0.392376
6.255134,0.349800
6.289861,0.365312
6.321402,0.365110
6.355074,0.364985
6.386445,0.397410
6.421079,0.387664
6.453070,0.432524
6.487516,0.416633
6.520183,0.455340
6.554854,0.454240
6.583973,0.481262
6.620166,0.510296
6.652273,0.534213
6.685521,0.515418
6.719262,0.527231
6.753365,0.545525
6.786442,0.559203
6.821782,0.582128
6.852111,0.604161
6.885347,0.619901
6.919229,0.629833
6.951817,0.657811
6.985819,0.674201
7.017887,0.698645
7.053223,0.694806
7.084813,0.719773
7.116540,0.743027
7.152153,0.748341
7.186348,0.758030
7.220383,0.774019
7.252383,0.784430
7.282062,0.793975
7.318703,0.793827
7.352097,0.791049
7.386061,0.793878
7.419917,0.795573
7.451200,0.801585
7.482641,0.802572
7.516716,0.797478
7.554204,0.804157
7.587853,0.807504
7.619666,0.807715
7.651182,0.806842
7.687125,0.804582
7.719884,0.805933
7.750902,0.807289
7.785208,0.805530
7.819884,0.807759
7.850473,0.807573
7.886626,0.799574
7.915683,0.805433
7.951651,0.796005
7.985761,0.789748
8.018494,0.785538
8.052348,0.789718
8.082419,0.789334
8.115465,0.788050
8.151085,0.781566
8.183602,0.785546
8.216986,0.791017
8.252922,0.773670
8.282867,0.764066
8.317207,0.766732
8.352768,0.758736
8.385747,0.755398
8.418387,0.748532
8.450170,0.741515
8.484489,0.731690
8.517144,0.732661
8.550137,0.729929
8.584373,0.722294
8.620922,0.727160
8.654712,0.727887
8.689486,0.723163
8.720733,0.736959
8.753726,0.728951
8.785782,0.740991
8.817319,0.761581
8.851068,0.761069
8.886612,0.772473
8.921695,0.787711
8.951343,0.791133
8.985523,0.805734
9.017668,0.829972
9.056229,0.855005
9.089306,0.864626
9.121130,0.877918
9.156901,0.888335
9.187442,0.909321
9.219910,0.933669
9.255054,0.933935
9.287810,0.978022
9.319419,0.984028
9.355262,0.986473
9.387140,0.999550
9.420990,1.015422
9.456382,1.032653
9.488568,1.051914
9.517489,1.034588
9.547407,1.052820
9.588077,1.060831
9.618828,1.089687
9.652268,1.098855
9.685387,1.100171
9.717844,1.127195
9.749076,1.119014
