sim_time,speed_m_s
0.011965,0.189178
0.049589,0.632990
0.082428,1.077145
0.116342,1.379005
0.150685,1.631109
0.183489,1.954155
0.217591,2.381074
0.257147,2.725053
0.290313,1.052604
0.324067,0.301822
0.353094,0.142352
0.390909,0.059394
0.422992,0.136726
0.460629,0.153372
0.496146,0.084323
0.528684,0.050731
0.559036,0.029943
0.596174,0.013453
0.630443,0.003731
0.662096,0.009751
0.696212,0.004516
0.733978,0.018910
0.764783,0.003731
0.801794,0.018869
0.839150,0.008756
0.868023,0.003803
0.904705,0.002202
0.938594,0.003155
0.972746,0.005976
1.007919,0.015923
1.037973,0.008883
1.074247,0.006879
1.108328,0.000000
1.144364,0.004754
1.179039,0.000480
1.214376,0.001479
1.243357,0.000526
1.277322,0.000718
1.311391,0.000494
1.348660,0.002296
1.380119,0.000094
1.418149,0.003500
1.451750,0.000491
1.485410,0.000576
1.521689,0.000334
1.555280,0.000046
1.585805,0.000218
1.623733,0.000488
1.655068,0.000108
1.689968,0.000014
1.722253,0.000118
1.754638,0.000125
1.788611,0.001095
1.818400,0.000550
1.856203,0.000004
1.889947,0.000368
1.920368,0.001167
1.957346,0.000252
1.988540,0.000260
2.022437,0.000362
2.057522,0.000323
2.090395,0.000278
2.125060,0.000903
2.157195,0.000069
2.189050,0.002524
2.223948,0.000969
2.256186,0.000299
2.291402,0.000189
2.323976,0.000398
2.356061,0.000000
2.389391,0.001076
2.425015,0.000825
2.461541,0.000155
2.496899,0.000429
2.528518,0.000258
2.566200,0.000453
2.598311,0.000564
2.633140,0.000868
2.666165,0.001222
2.696812,0.000129
2.732274,0.000161
2.764762,0.000013
2.797173,0.000740
2.831566,0.000333
2.865951,0.000542
2.895225,0.000583
2.932760,0.000974
2.964212,0.000283
2.999018,0.000592
3.029335,0.000982
3.062918,0.000235
3.098051,0.000703
3.131403,0.000592
3.164351,0.000131
3.196664,0.000028
3.231473,0.001969
3.264905,0.000559
3.296624,0.000207
3.328695,0.000457
3.363136,0.000480
3.395155,0.002891
3.428159,0.000523
3.463850,0.000643
3.494920,0.000136
3.529392,0.000517
3.562359,0.003097
3.598552,0.001982
3.631117,0.000050
3.665100,0.000494
3.698698,0.000536
3.729794,0.000835
3.764856,0.000415
3.796146,0.000011
3.830189,0.001034
3.865714,0.000448
3.897110,0.000211
3.934604,0.000892
3.966355,0.000588
4.000785,0.263233
4.033501,0.351832
4.064661,0.360002
4.099585,0.356894
4.133527,0.353272
4.166477,0.379833
4.199150,0.368608
4.232251,0.359181
4.266962,0.353125
4.300278,0.353980
4.332781,0.357616
4.368850,0.366560
4.401374,0.378022
4.435365,0.397823
4.469968,0.400334
4.503615,0.417008
4.539181,0.420937
4.573152,0.431607
4.605554,0.441587
4.640485,0.454488
4.674153,0.464489
4.708308,0.476662
4.741567,0.509662
4.774343,0.509585
4.807031,0.518982
4.839928,0.537210
4.874372,0.548904
4.906119,0.560105
4.938503,0.568564
4.972276,0.583669
5.007939,0.599703
5.042872,0.622849
5.075558,0.635706
5.108790,0.647810
5.137836,0.660640
5.175828,0.682243
5.208848,0.723434
5.241891,0.723279
5.273882,0.738298
5.307683,0.755912
5.338846,0.767956
5.374277,0.808766
5.406937,0.845668
5.438714,0.869557
5.473931,0.876634
5.508718,0.900708
5.540907,0.919469
5.570380,0.945062
5.606130,0.957165
5.637797,0.982282
5.671677,1.010852
5.705630,1.029598
5.739112,1.046132
5.772884,1.064481
5.807031,1.071681
5.839925,1.103585
5.876139,1.120057
