sim_time,speed_m_s
0.000000,0.073616
0.039474,0.567522
0.082459,0.947847
0.117731,1.446040
0.152092,1.694147
0.187278,2.003794
0.221528,2.354833
0.253702,2.631580
0.286697,2.993105
0.321198,0.122854
0.355242,0.065445
0.394113,0.108292
0.432655,0.095673
0.466281,0.065452
0.497661,0.046055
0.530025,0.025594
0.565791,0.013608
0.599147,0.008408
0.634877,0.010718
0.668582,0.017571
0.700308,0.010816
0.735816,0.022192
0.771111,0.024383
0.802866,0.010008
0.839474,0.017745
0.873672,0.023308
0.904667,0.027374
0.936836,0.062283
0.975230,0.007363
1.006451,0.036288
1.040022,0.013030
1.074304,0.016532
1.108656,0.002882
1.142852,0.024102
1.174410,0.011530
1.210017,0.006065
1.244035,0.025934
1.276099,0.009700
1.311548,0.011365
1.343161,0.010068
1.378469,0.006695
1.414061,0.003205
1.447404,0.000725
1.478230,0.000748
1.513139,0.001294
1.548404,0.001029
1.581848,0.001869
1.614436,0.000588
1.651539,0.000341
1.684884,0.000000
1.718250,0.000000
1.751482,0.000000
1.782456,0.000000
1.815257,0.000000
1.851589,0.000000
1.885247,0.000000
1.917185,0.000000
1.949338,0.000000
1.984805,0.000000
2.018077,0.000000
2.050497,0.000000
2.085346,0.000000
2.117929,0.000000
2.146262,0.000000
2.183318,0.000000
2.218506,0.000000
2.251178,0.000000
2.282996,0.000000
2.319451,0.000000
2.352618,0.000000
2.384953,0.000000
2.419205,0.000000
2.454515,0.000000
2.491573,0.000000
2.526288,0.000000
2.558164,0.000000
2.592011,0.000000
2.623484,0.000000
2.655942,0.000000
2.691052,0.000000
2.726365,0.000000
2.761109,0.000000
2.790395,0.000000
2.823881,0.000000
2.858765,0.000000
2.890703,0.000000
2.923468,0.000000
2.959553,0.000000
2.990699,0.000000
3.023005,0.000000
3.058911,0.000000
3.091271,0.000000
3.125577,0.002193
3.156704,0.000277
3.191434,0.000676
3.223276,0.001094
3.254054,0.001364
3.288459,0.004263
3.322632,0.001443
3.357306,0.000219
3.390631,0.000893
3.424658,0.001152
3.459830,0.000346
3.490419,0.000455
3.526553,0.000000
3.559878,0.002400
3.591650,0.001097
3.623492,0.000769
3.660195,0.002262
3.690559,0.001595
3.726599,0.000262
3.757669,0.000678
3.791658,0.000274
3.823980,0.001085
3.858396,0.000280
3.892298,0.000574
3.924471,0.000756
3.958256,0.002256
3.992268,0.000774
4.025499,0.000127
4.057304,0.000572
4.092528,0.000192
4.125936,0.000602
4.158505,0.000623
4.192297,0.001773
4.226008,0.000105
4.261432,0.000949
4.293549,0.000051
4.330454,0.000587
4.361326,0.000578
4.394066,0.000971
4.429562,0.000070
4.461401,0.001607
4.498170,0.001008
4.531345,0.000459
4.566018,0.000195
4.598129,0.000823
4.632352,0.001553
4.664505,0.000819
4.700185,0.000197
4.731392,0.001431
4.764250,0.001661
4.798284,0.000007
4.830671,0.000508
4.866135,0.000333
4.899988,0.000176
4.932354,0.000519
4.966078,0.000372
4.998760,0.000897
5.030449,0.000177
5.064829,0.000389
5.098772,0.000631
5.130199,0.003099
5.165395,0.000845
5.196567,0.000581
5.230444,0.000473
5.264123,0.000673
5.296009,0.000048
5.328627,0.000068
5.362010,0.000822
5.395287,0.000450
5.429782,0.000453
5.463129,0.000195
5.494596,0.142409
5.528009,0.288918
5.560076,0.371011
5.595260,0.386023
5.626265,0.382327
5.661207,0.379463
5.693100,0.377915
5.726563,0.376727
5.762288,0.376071
5.795959,0.375662
5.828462,0.376270
5.863424,0.376075
5.897420,0.376248
5.930088,0.376473
5.962086,0.376671
5.994429,0.376999
6.026063,0.377809
6.063573,0.378260
6.093438,0.379578
6.127103,0.380001
6.161902,0.380240
6.196165,0.387982
6.229627,0.412980
6.261907,0.421108
6.296295,0.469729
6.328918,0.491460
6.363888,0.586245
6.394983,0.743308
6.429403,0.917047
6.462980,1.062168
6.494854,1.173251
6.526031,1.253574
6.558714,1.268664
6.598605,1.325914
6.629395,1.352236
6.662825,1.379975
6.697290,1.434953
6.727078,1.491999
6.764544,1.505015
6.795907,1.548462
6.829829,1.600512
6.865465,1.634537
6.897062,1.673399
6.931279,1.712054
6.965050,1.744511
6.996893,1.779376
7.029312,1.848492
7.064092,1.860551
7.097289,2.173996
7.131520,2.308402
7.164619,2.445541
7.195852,2.471860
7.232051,2.475273
7.263486,2.505869
7.300337,2.516640
7.332985,2.558995
7.367738,2.574246
7.400961,2.603574
7.433647,2.635853
7.470471,2.652329
7.503385,2.688290
7.533807,2.697696
7.569619,2.736633
7.603191,2.747569
7.633926,2.764149
7.667326,2.753907
7.700054,2.740814
7.736291,2.728495
7.770412,2.707410
7.803601,2.689343
7.838516,2.661674
7.871626,2.646704
7.902279,2.600208
7.937776,2.592435
7.971012,2.561990
8.005116,2.546188
8.040366,2.527866
8.072091,2.474553
8.106719,2.464985
8.138097,2.433130
8.172456,2.385732
8.202378,2.391627
8.236643,2.359189
8.271301,2.311526
8.305807,2.289660
8.340109,2.287294
8.373244,2.239169
8.407880,2.239555
8.442388,2.215356
8.472029,2.206291
8.509366,2.193204
8.542670,2.129399
8.577995,2.153560
8.610547,2.088965
8.643391,2.102453
8.677822,2.056727
8.711148,2.050497
8.745476,2.015427
8.780502,1.995081
8.812917,1.996182
8.845776,1.975202
8.877653,1.984415
8.910969,1.928050
8.945592,1.920055
8.979806,1.895186
9.011243,1.888103
9.045442,1.864605
9.079677,1.862443
9.110872,1.857760
9.140693,1.829734
9.178842,1.868914
9.209632,1.852330
9.243659,1.845948
9.274856,1.880187
9.311619,1.880952
9.344671,1.888338
9.376560,1.901180
9.414695,1.909546
9.448775,1.930079
9.482115,1.941989
9.515355,1.950486
9.551110,1.964244
9.587178,1.969576
9.621685,1.984944
9.652862,1.986943
9.687108,1.997374
9.722110,2.013289
9.755026,2.020124
9.786564,2.023683
9.817880,2.031784
9.853143,2.051443
9.887071,2.055915
9.918625,2.054495
9.952268,2.058398
9.987321,2.073921
10.019150,2.076924
10.053358,2.086957
10.086646,2.105176
10.122765,2.115119
10.153128,2.123203
10.187220,2.124318
10.221583,2.134586
10.253443,2.143876
10.288277,2.144885
10.322370,2.147187
10.354900,2.150143
10.388214,2.156699
10.421072,2.175336
10.455369,2.179918
10.488512,2.180421
10.524821,2.201111
10.559004,2.191142
10.590270,2.197251
10.624577,2.213286
10.657350,2.215236
10.690144,2.207828
10.723520,2.225103
10.757890,2.229521
10.789972,2.217270
10.826747,2.224567
10.860570,2.241750
10.893615,2.234271
10.923994,2.241620
10.957643,2.245711
10.992095,2.257209
11.026491,2.246090
11.059055,2.256310
11.091553,2.242479
11.127839,2.239123
11.158973,2.260537
11.192650,2.264900
11.226997,2.267754
11.258557,2.288425
11.294580,2.285747
11.329740,2.287921
11.362607,2.294785
11.393533,2.304642
11.428720,2.292726
11.461740,2.271974
11.496155,2.281015
11.528512,2.274443
11.560372,2.277606
11.593418,2.301390
11.629860,2.278685
11.659663,2.301742
11.694636,2.292267
11.727495,2.311701
11.761761,2.290528
11.796695,2.311498
11.829105,2.331208
11.859010,2.298941
11.893574,2.300072
11.926305,2.326967
11.962401,2.275821
11.996732,2.311564
12.031152,2.273248
12.064558,2.306627
12.098885,2.287486
12.135569,2.273903
12.170530,2.296284
12.201762,2.262197
12.236138,2.262615
12.269948,2.269828
12.302564,2.233718
12.333552,2.265523
12.371036,2.256407
12.407053,2.266429
12.437175,2.252730
12.471392,2.235611
12.508236,2.241625
12.537222,2.256739
12.576259,2.193416
12.607961,2.225148
12.638163,2.156173
12.673758,2.161388
12.703695,2.135698
12.739155,2.105906
12.774598,2.109339
12.807337,2.087132
12.839656,2.099154
12.872613,2.049369
12.905432,2.092133
12.940517,2.026639
12.973594,2.076328
13.007771,2.010001
13.041312,2.025010
13.074662,2.023610
13.105268,2.015663
13.138671,2.006964
13.171402,1.984378
13.204793,1.993725
13.239641,1.970886
13.272942,1.972928
13.301474,1.969797
13.337166,1.953641
13.371361,1.940424
13.404671,1.968670
13.439440,1.935593
13.471429,1.920321
13.503869,1.891341
13.537217,1.917162
13.569822,1.923861
13.603038,1.897584
13.637003,1.897053
13.668940,1.895009
13.708616,1.880512
13.740649,1.875115
13.775033,1.881471
13.807079,1.889059
13.839020,1.868889
13.874587,1.858835
13.906596,1.848061
13.940062,1.855920
13.974887,1.848683
14.008770,1.838995
14.043223,1.842669
14.077088,1.833503
14.111473,1.825032
14.147285,1.835088
14.180887,1.840826
14.213938,1.806601
14.248536,1.820560
14.278220,1.784461
14.312447,1.784825
14.348362,1.755358
14.381393,1.731474
14.415195,1.697912
14.446061,1.669843
14.480463,1.680538
14.514547,1.651724
14.546113,1.631722
14.579278,1.605612
14.612310,1.592088
14.644492,1.571852
14.678407,1.536063
14.712215,1.502878
14.744881,1.487421
14.779207,1.444889
14.813626,1.413935
14.848180,1.378795
14.880049,1.372111
14.914981,1.345480
14.945597,1.321533
14.981529,1.301904
15.015964,1.277093
15.046067,1.270251
15.080687,1.261108
15.115331,1.246331
15.147211,1.250850
15.180878,1.248990
15.216217,1.245711
15.252450,1.242400
15.286759,1.227683
15.320261,1.245702
15.354697,1.227595
15.387480,1.233183
15.421239,1.212859
15.456861,1.231611
15.489707,1.231042
15.523709,1.214347
15.557772,1.229761
15.591061,1.222874
15.624810,1.220622
15.656137,1.233349
15.691314,1.216747
15.723830,1.251084
15.758551,1.244667
15.791991,1.248116
15.826255,1.258772
15.859730,1.260853
15.891622,1.294865
15.925948,1.279498
15.957683,1.300254
15.993615,1.313189
16.023480,1.317685
16.056029,1.326176
16.089031,1.330850
16.126611,1.348886
16.160052,1.359034
16.193324,1.365933
16.227051,1.373709
16.261514,1.375651
16.294643,1.402168
16.328773,1.413956
16.364517,1.421443
16.395768,1.440510
16.429995,1.441817
16.465791,1.459827
16.497427,1.449832
16.529735,1.506823
16.561050,1.484513
16.600590,1.528995
16.637612,1.552228
16.670754,1.545287
16.703642,1.568854
16.742059,1.581940
16.775657,1.561847
16.810997,1.584079
16.843113,1.597794
16.875458,1.611214
16.909672,1.631154
16.944561,1.636646
16.976080,1.660835
17.008998,1.662642
17.045987,1.668842
17.077230,1.666050
17.113585,1.661256
17.145787,1.665584
17.179522,1.660313
17.213885,1.646230
17.244916,1.637134
17.280262,1.616511
17.314282,1.603490
17.345571,1.601717
17.381091,1.592800
17.412724,1.580682
17.443338,1.570555
17.477721,1.545957
17.510898,1.550661
17.547055,1.536509
17.579832,1.535905
17.611679,1.521399
17.646897,1.503263
17.680599,1.502271
17.711804,1.482322
17.745889,1.473254
17.783936,1.463983
17.816086,1.438838
17.848880,1.438057
17.881523,1.438734
17.914194,1.415868
17.946638,1.405408
17.981785,1.393612
18.012080,1.375037
18.049181,1.370340
18.080971,1.352851
18.113107,1.350973
18.146457,1.339117
18.179591,1.339142
18.210758,1.332132
18.244546,1.309287
18.276034,1.312926
18.316923,1.295390
18.348930,1.279815
18.383643,1.269632
18.416528,1.250906
18.447110,1.242593
18.481778,1.216588
18.514274,1.218810
18.545493,1.213053
18.580921,1.206691
18.613347,1.198611
18.650575,1.194503
18.683221,1.186763
18.717014,1.172789
18.751787,1.180799
18.784651,1.168041
18.814241,1.145552
18.846457,1.135394
18.884312,1.124865
18.916838,1.109372
18.950623,1.109067
18.982068,1.094409
19.013445,1.096866
19.049964,1.093109
19.085124,1.072465
19.117565,1.069850
19.152667,1.068266
19.180992,1.075546
19.218961,1.063851
19.249995,1.065549
19.283954,1.073963
19.321543,1.082251
19.355358,1.087078
19.390115,1.096344
19.419607,1.115473
19.457843,1.115281
19.488936,1.131411
19.521366,1.131757
19.554591,1.126930
19.587139,1.157137
19.620427,1.157072
19.655101,1.176616
19.689656,1.185154
19.720645,1.193142
19.755977,1.200718
19.790180,1.208162
19.824924,1.244576
19.854691,1.222394
19.888676,1.242740
19.922620,1.239242
19.956086,1.259707
19.993491,1.283971
20.023085,1.284483
20.062064,1.292585
20.092245,1.289127
20.127667,1.304597
20.163485,1.311784
20.194255,1.308384
20.226797,1.344719
20.258582,1.336616
20.290639,1.329155
20.325606,1.374954
20.360962,1.385526
20.393779,1.371888
20.428894,1.361689
20.458612,1.413850
20.495516,1.405420
20.525597,1.395162
20.560435,1.414841
20.592977,1.417903
20.625664,1.435555
20.655823,1.435317
20.692028,1.445311
20.723835,1.460975
20.760153,1.471148
20.793698,1.468431
20.827806,1.482249
20.859973,1.490108
20.897123,1.478663
20.929313,1.493913
20.960942,1.495797
20.997086,1.504403
21.030629,1.503894
21.063656,1.505565
21.098784,1.503963
21.130604,1.518658
21.162989,1.512030
21.197926,1.509557
21.231317,1.518724
21.264902,1.512979
21.298318,1.519566
21.334530,1.530216
21.365541,1.520871
21.399583,1.490109
21.433664,1.522012
21.465931,1.501145
21.498822,1.527406
21.531655,1.513714
21.564356,1.531368
21.599472,1.523780
21.630689,1.532905
21.664418,1.550934
21.698588,1.541419
21.730522,1.539127
21.763044,1.541580
21.795336,1.547562
21.828416,1.539686
21.861410,1.549151
21.894274,1.545309
21.927752,1.541747
21.958514,1.553727
21.992486,1.555401
22.029470,1.547935
22.061950,1.553651
22.094889,1.567599
22.128389,1.553286
22.162777,1.544195
22.196292,1.553690
22.227837,1.533386
22.265683,1.515935
22.298553,1.496994
22.331572,1.479127
22.363209,1.444710
22.397243,1.451484
22.431292,1.419646
22.465798,1.386734
22.501067,1.365786
22.533276,1.343501
22.565198,1.333056
22.598886,1.309320
22.632636,1.292981
22.666047,1.285155
22.697999,1.266285
22.733941,1.255536
22.765635,1.231803
22.799462,1.224816
22.833415,1.214051
22.865626,1.200240
22.902484,1.184985
22.934848,1.171009
22.965139,1.170320
22.998633,1.143963
23.032293,1.142813
23.066382,1.125989
23.097961,1.109714
23.131559,1.104295
23.164569,1.117126
23.198562,1.093530
23.233835,1.076528
23.265012,1.067066
23.302263,1.059626
23.334212,1.076699
23.367275,1.077349
23.400261,1.081745
23.435424,1.092334
23.467869,1.088517
23.500062,1.108325
23.532737,1.105965
23.565093,1.122157
23.599708,1.128403
23.630147,1.145064
23.666018,1.162166
23.700266,1.167967
23.734397,1.184678
23.767095,1.201426
23.800594,1.204167
23.831819,1.203930
23.866943,1.216104
23.897744,1.249632
23.930765,1.237994
23.966389,1.277341
24.002415,1.264948
24.032940,1.262102
24.068154,1.307484
24.099779,1.291054
24.135588,1.298583
24.168385,1.346177
24.204113,1.353135
24.234794,1.382496
24.269323,1.382421
24.299930,1.387884
24.336264,1.409012
24.371201,1.422423
24.402819,1.450290
24.434716,1.467416
24.470456,1.514583
24.501944,1.495226
24.537097,1.513707
24.571706,1.543646
24.601574,1.536586
24.635630,1.558666
24.672889,1.579442
24.705766,1.587994
24.740351,1.593390
24.773926,1.620676
24.805479,1.638828
24.841726,1.652413
24.877091,1.659873
24.913250,1.677931
24.944282,1.693475
24.979521,1.709067
25.012700,1.710953
25.046705,1.729770
25.079500,1.737356
25.114460,1.747801
25.146678,1.757951
25.180462,1.761562
25.213896,1.777303
25.242606,1.797450
25.282825,1.794564
25.317259,1.802861
25.351694,1.824890
25.382647,1.836295
25.418657,1.848042
25.452253,1.873331
25.484271,1.865265
25.515098,1.875817
25.549269,1.877094
25.587586,1.890033
25.618951,1.900258
25.653236,1.901160
25.685670,1.913335
25.716716,1.916580
25.753486,1.926136
25.786337,1.947482
25.819296,1.943776
25.852813,1.947321
25.886837,1.963636
25.920120,1.963202
25.951396,1.964672
25.984317,1.972523
26.019830,1.986735
26.051742,1.984941
26.083730,1.986844
26.118190,1.986282
26.152886,2.007992
26.185423,2.011133
26.219866,2.018190
26.254632,2.017169
26.287515,2.022297
26.319233,2.025631
26.351005,2.032473
26.387258,2.043240
26.419575,2.045941
26.453406,2.047267
26.487861,2.055383
26.520387,2.049901
26.551382,2.050869
26.586381,2.063484
26.620276,2.070184
26.653820,2.073685
26.685901,2.069290
26.718013,2.068854
26.755516,2.078174
26.788546,2.059072
26.822750,2.037511
26.853231,2.030750
26.891781,2.047056
26.925559,1.996791
26.955032,2.023676
26.989596,1.976797
27.024327,1.981811
27.058972,1.995967
27.090917,1.964919
27.124941,1.974586
27.163364,1.938442
27.195204,1.942495
27.229466,1.928966
27.262365,1.930341
27.300767,1.931516
27.334390,1.951221
27.365876,1.897676
27.399356,1.880599
27.431070,1.925213
27.466474,1.874850
27.496106,1.907921
27.531730,1.858305
27.565313,1.881634
27.596288,1.851580
27.630342,1.854734
27.663663,1.837624
27.698348,1.847054
27.730600,1.857021
27.762457,1.850686
27.797476,1.824431
27.832631,1.827614
27.864582,1.819753
27.901011,1.823046
27.931455,1.837365
27.966231,1.835969
27.997878,1.823732
28.033141,1.855795
28.068375,1.826660
28.102110,1.859747
28.140025,1.869825
28.171877,1.876195
28.207266,1.870801
28.237853,1.893166
28.272178,1.892468
28.305352,1.913338
28.339581,1.917943
28.372457,1.918163
28.403872,1.927048
28.439845,1.931836
28.469411,1.951653
28.506744,1.959784
28.540961,1.967848
28.577816,1.980602
28.606272,1.995166
28.642613,2.003587
28.675498,2.011399
28.711155,2.019603
28.742516,2.026972
28.777220,2.038017
28.810005,2.034469
28.844708,2.057397
28.876714,2.067010
28.909422,2.076685
28.941511,2.088342
28.976942,2.094626
29.009792,2.099109
29.040860,2.105772
29.073858,2.121029
29.107127,2.123762
29.141553,2.137028
29.172950,2.136693
29.204644,2.139556
29.241809,2.144062
29.274454,2.172651
29.309647,2.175898
29.343388,2.179586
29.373952,2.179970
29.411445,2.172124
29.443363,2.178239
29.476023,2.214231
29.510338,2.203901
29.543505,2.214027
29.577050,2.207774
29.610248,2.205176
29.644302,2.221330
29.678206,2.220487
29.711627,2.229327
29.745768,2.230434
29.778037,2.236644
29.810840,2.245793
29.841819,2.237433
29.875380,2.245483
29.913061,2.255835
29.944068,2.257663
29.979750,2.252611
30.010435,2.250461
30.045565,2.261261
30.078919,2.247726
30.110794,2.276147
30.142951,2.262016
30.176571,2.254975
30.206580,2.266601
30.243962,2.282989
30.277895,2.254238
30.307585,2.295647
30.339034,2.263636
30.379097,2.284356
30.411652,2.286959
30.445035,2.291679
30.476167,2.280961
30.510466,2.282845
30.544101,2.289038
30.578806,2.294026
30.609718,2.306110
30.643479,2.307413
30.676690,2.295232
30.711883,2.325980
30.742022,2.300790
30.774281,2.304867
30.810071,2.299574
30.842392,2.302246
30.876354,2.301629
30.908551,2.251297
30.942795,2.268052
30.978005,2.261765
31.012055,2.221238
31.046552,2.189840
31.080543,2.132466
31.113387,2.172128
31.147322,2.074656
31.177519,2.128343
31.211081,2.051929
31.243725,2.057774
31.278909,1.999848
31.313004,2.049866
31.342560,1.997273
31.378363,1.956713
31.409931,2.003501
31.443361,1.942299
31.476085,1.986687
31.509533,1.928171
31.543853,1.940392
31.575802,1.916594
31.608617,1.921531
31.643475,1.892726
31.674431,1.908321
31.708456,1.878319
31.741605,1.872243
31.774034,1.887321
31.808402,1.877925
31.841920,1.870610
31.877022,1.864516
31.912072,1.868904
31.943552,1.871380
31.979248,1.894050
32.010827,1.865466
32.044060,1.875378
32.080077,1.846042
32.113886,1.887497
32.143676,1.862639
32.177695,1.872924
32.211092,1.885459
32.245178,1.838892
32.277764,1.892265
32.314432,1.842306
32.347814,1.886471
32.381884,1.861408
32.414925,1.889366
32.452032,1.873300
32.485308,1.882943
32.517907,1.899090
32.550395,1.883646
32.581006,1.899279
32.615973,1.897579
32.651105,1.875464
32.685475,1.898677
32.714604,1.879678
32.754419,1.896996
32.786447,1.887171
32.817124,1.887097
32.849924,1.888528
32.885452,1.904749
32.920836,1.894349
32.955212,1.914324
32.987455,1.891372
33.020884,1.909179
33.054285,1.878073
33.087067,1.845823
33.120472,1.857501
33.156953,1.825707
33.189690,1.843987
33.223969,1.803294
33.257632,1.793253
33.292587,1.769442
33.322995,1.743544
33.359418,1.738990
33.393594,1.714716
33.424494,1.676939
33.457850,1.660940
33.490787,1.646878
33.527676,1.622765
33.558161,1.618996
33.593137,1.602114
33.626795,1.581360
33.658257,1.555736
33.693564,1.544059
33.728735,1.533113
33.764265,1.527980
33.794729,1.494634
33.833913,1.491725
33.865029,1.468599
33.897528,1.459377
33.932318,1.475139
33.965051,1.445469
33.996991,1.433714
34.030133,1.438678
34.066265,1.404296
34.101227,1.391707
34.131578,1.388526
34.166380,1.383272
34.200968,1.372419
34.234509,1.397039
34.264550,1.359724
34.301058,1.354854
34.334356,1.335688
34.364176,1.355645
34.400604,1.319827
34.433285,1.327209
34.467271,1.323817
34.499785,1.324801
34.533145,1.329990
34.569491,1.327105
34.598412,1.321442
34.634213,1.327456
34.668580,1.324772
34.701929,1.316366
