sim_time,speed_m_s
0.001965,0.069989
0.042653,0.580531
0.082697,1.012836
0.113221,1.496900
0.147568,1.616837
0.182633,2.028258
0.215729,2.274626
0.250327,2.545812
0.283884,2.882873
0.318426,0.767839
0.348727,0.157494
0.383956,0.049160
0.418955,0.131227
0.452106,0.109269
0.480623,0.071454
0.516772,0.038984
0.549361,0.029428
0.590027,0.010944
0.623998,0.022910
0.658841,0.015291
0.691730,0.007823
0.723879,0.017959
0.760277,0.018455
0.790278,0.004519
0.823170,0.009726
0.858107,0.016620
0.895086,0.007962
0.928243,0.023437
0.960291,0.014452
0.993677,0.009954
1.025350,0.009972
1.060060,0.026793
1.092917,0.018427
1.126919,0.019768
1.157601,0.008326
1.193903,0.012697
1.224897,0.005798
1.257755,0.002036
1.294400,0.003398
1.327848,0.001015
1.363686,0.001925
1.396178,0.000458
1.429874,0.000877
1.463304,0.000483
1.496375,0.000304
1.527186,0.002108
1.561934,0.000585
1.594158,0.001100
1.628168,0.000514
1.659963,0.000043
1.695451,0.000793
1.727135,0.000197
1.761401,0.000088
1.794749,0.000887
1.827510,0.002081
1.858993,0.001517
1.896316,0.002641
1.929784,0.002236
1.962367,0.000710
1.997540,0.000390
2.032345,0.000278
2.067818,0.000350
2.100687,0.000677
2.135378,0.000689
2.169754,0.001366
2.203636,0.001038
2.233712,0.002327
2.269991,0.001889
2.303385,0.001462
2.334867,0.002343
2.370252,0.000158
2.402284,0.000376
2.433646,0.001069
2.467819,0.001596
2.500666,0.003485
2.535885,0.000681
2.570428,0.003662
2.601114,0.004312
2.635463,0.001196
2.668886,0.000113
2.699393,0.002305
2.731312,0.000508
2.766976,0.000516
2.800075,0.002358
2.835537,0.000103
2.867140,0.000464
2.900595,0.001294
2.935485,0.000402
2.972097,0.001860
3.005767,0.001376
3.038496,0.000440
3.066534,0.001025
3.103486,0.003415
3.135371,0.001711
3.169332,0.001082
3.205245,0.001559
3.238417,0.000894
3.267960,0.001996
3.304933,0.001902
3.340624,0.001134
3.373765,0.000473
3.403107,0.002732
3.438364,0.000806
3.470292,0.000282
3.504711,0.003406
3.540797,0.001729
3.578444,0.000656
3.615446,0.000710
3.646818,0.001015
3.680020,0.004090
3.716107,0.001132
3.751438,0.000391
3.783051,0.000084
3.819139,0.000373
3.852892,0.000461
3.886873,0.161981
3.919763,0.273449
3.952383,0.361766
3.983047,0.407804
4.017046,0.412708
4.048781,0.450040
4.084177,0.442698
4.118916,0.424016
4.150474,0.460534
4.188794,0.452209
4.221344,0.481121
4.256551,0.490441
4.288002,0.500299
4.321236,0.528162
4.356310,0.554008
4.392397,0.576672
4.428260,0.604680
4.460516,0.641105
4.493229,0.656346
4.527587,0.702909
4.562281,0.726378
4.593905,0.737728
4.627491,0.772471
4.661599,0.815295
4.696003,0.842572
4.729648,0.883890
4.759636,0.905844
4.794448,0.921353
4.826195,0.945399
4.862158,1.010694
4.894389,1.011880
4.927884,1.040639
4.965406,1.055363
5.000758,1.080467
5.031314,1.100331
5.066313,1.131969
5.097599,1.139581
5.133802,1.154522
5.167136,1.191689
5.199061,1.210064
5.230936,1.228344
5.266346,1.247009
5.299541,1.259936
5.335102,1.277933
5.367667,1.300336
5.399703,1.308353
5.435717,1.332447
5.468408,1.347130
5.500253,1.358036
5.532211,1.392807
5.564908,1.398003
5.600808,1.411068
5.636844,1.433040
5.669611,1.443233
5.703338,1.448503
5.734792,1.460929
5.768642,1.473081
5.801023,1.485038
5.836607,1.496089
5.868566,1.508689
5.902695,1.526920
5.937067,1.536104
5.971575,1.547481
6.002360,1.556768
6.034840,1.570103
6.071339,1.577254
6.099898,1.587295
6.136691,1.600454
6.170236,1.616687
6.202427,1.615822
6.234080,1.625580
6.268151,1.634136
6.303839,1.638909
6.339232,1.646044
6.370323,1.655210
6.406316,1.667334
6.437425,1.673992
6.472195,1.677492
6.503407,1.686413
6.538287,1.731771
6.570112,1.987229
6.602744,2.100748
6.633333,2.053450
6.671711,2.032411
6.705131,2.013729
6.738563,2.000327
6.767429,1.959636
6.802200,1.917423
6.838926,1.885759
6.872956,1.842557
6.904764,1.819904
6.939504,1.791538
6.976008,1.762980
7.010494,1.734650
7.041138,1.705426
7.074525,1.666244
7.107748,1.644323
7.144829,1.619780
7.179280,1.598373
7.210564,1.564611
7.246731,1.561025
7.279417,1.533385
7.313078,1.514893
7.346016,1.465311
7.376545,1.438696
7.412350,1.399652
7.443382,1.376071
7.477364,1.346484
7.512396,1.304398
7.545185,1.287251
7.577201,1.259897
7.609987,1.248133
7.639366,1.228515
7.677609,1.200045
7.708989,1.185270
7.744308,1.160110
7.777206,1.158194
7.808208,1.134095
7.845854,1.108306
7.876853,1.087232
7.913672,1.074557
7.946628,1.059997
7.978335,1.049107
8.011894,1.031208
8.043529,1.023009
8.078186,1.021252
8.111289,1.002686
8.143381,0.999925
8.178114,0.989872
8.210622,0.984794
8.244362,0.987880
8.275561,0.991558
8.309039,0.984632
8.344544,0.981086
8.380325,0.976525
8.416613,0.972624
8.450342,0.971276
8.483007,0.971272
8.515194,0.962023
8.549114,0.972676
8.584361,0.983580
8.622317,0.983660
8.654889,0.992758
8.688599,0.991770
8.721134,0.994526
8.756585,0.999733
8.788646,1.011587
8.822959,1.017343
8.856972,1.009307
8.890382,1.023525
8.921522,1.032558
8.958227,1.032514
8.988903,1.049347
9.023729,1.040400
9.058515,1.077738
9.092552,1.074087
9.121604,1.105245
9.157909,1.093246
9.191863,1.111133
9.225264,1.126130
9.256548,1.138130
9.292240,1.149094
9.326234,1.170817
9.358374,1.162284
9.390435,1.178020
9.426383,1.173996
9.460005,1.183501
9.493452,1.206480
9.527144,1.234495
9.560135,1.230536
9.593821,1.233826
9.625058,1.249943
9.661304,1.254176
9.692116,1.266930
9.727723,1.274146
9.759572,1.277976
9.793360,1.305083
9.825657,1.282237
9.860413,1.294728
9.891726,1.299442
9.927068,1.295288
9.960168,1.298864
9.990455,1.294043
10.025764,1.286813
10.059503,1.278510
10.091425,1.272987
10.125888,1.243181
10.163010,1.256107
10.194716,1.248706
10.228787,1.235727
10.261546,1.222796
10.295455,1.210113
10.328291,1.210658
10.362342,1.203886
10.394116,1.199433
10.427813,1.205742
10.465807,1.187740
10.497470,1.167230
10.532509,1.145838
10.566660,1.144630
10.599478,1.130443
10.631652,1.119172
10.665451,1.104268
10.699287,1.086471
10.734016,1.062690
10.766790,1.066678
10.798268,1.042587
10.832807,1.027948
10.868306,1.036717
10.901475,1.015936
10.935188,1.014428
10.968314,1.017598
10.999801,1.008962
11.033595,1.012959
11.065578,1.008783
11.099191,1.004966
11.132728,1.008986
11.167751,1.019301
11.202058,1.022447
11.235544,1.022000
11.267338,1.012607
11.300460,1.016056
11.333997,1.023993
11.364903,1.019016
11.400514,1.024134
11.431934,1.031039
11.467289,1.038900
11.497054,1.044386
11.531773,1.049622
11.564002,1.039290
11.598055,1.048607
11.630146,1.053953
11.664818,1.048367
11.698563,1.071968
11.732642,1.066155
11.764846,1.071970
11.800544,1.070621
11.832725,1.073126
11.863781,1.055797
11.902202,1.064394
11.932497,1.067083
11.968587,1.077687
12.001802,1.070664
12.035170,1.084223
12.069095,1.084350
12.100838,1.099996
12.132496,1.096759
12.165866,1.106996
12.200635,1.115408
12.231955,1.117467
12.267346,1.125721
12.301395,1.130112
12.333182,1.135845
12.365605,1.134306
12.400601,1.133690
12.432475,1.145912
12.467688,1.152903
12.500827,1.150771
12.532306,1.160179
12.564731,1.164921
12.598901,1.162300
12.632392,1.162190
12.668370,1.185631
12.703278,1.184039
12.734557,1.181751
12.767079,1.194856
12.800377,1.197385
12.835689,1.198189
12.870361,1.221234
12.906469,1.233258
12.936494,1.230483
12.968373,1.231007
13.001780,1.236345
13.034955,1.236035
13.068446,1.248434
13.101247,1.236972
13.137099,1.246179
13.172079,1.246480
13.202856,1.237509
13.238422,1.243898
13.272096,1.242480
13.305387,1.247359
13.337353,1.243534
13.369891,1.249208
13.404932,1.247269
13.435790,1.253250
13.468204,1.247959
13.505178,1.272564
13.536596,1.253247
13.572748,1.265443
13.604845,1.284186
13.642860,1.259296
13.676163,1.269980
13.708045,1.279837
13.742438,1.281362
13.772952,1.277293
13.807609,1.285570
13.839656,1.284044
13.874211,1.290351
13.909134,1.310149
13.943392,1.286741
13.973814,1.287506
14.008466,1.288022
14.043098,1.294861
14.073250,1.312132
14.109301,1.300937
14.142926,1.305760
14.176127,1.316108
14.209282,1.329518
14.242417,1.323209
14.277357,1.331702
14.307816,1.338747
14.340976,1.333214
14.375088,1.357027
14.409296,1.361962
14.441311,1.366286
14.474330,1.378042
14.508524,1.386664
14.541880,1.397983
14.575311,1.403630
14.610636,1.406173
14.642449,1.411476
14.675695,1.414814
14.706351,1.415672
14.744944,1.426359
14.776554,1.444870
14.809254,1.433774
14.841418,1.438592
14.878981,1.429292
14.910554,1.444252
14.943670,1.452395
14.975759,1.450165
15.010296,1.441577
15.043449,1.451277
15.077582,1.474411
15.110697,1.462242
15.144136,1.461974
15.175969,1.470681
15.212483,1.486489
15.243037,1.465109
15.276823,1.498558
15.310107,1.514404
15.344141,1.510912
15.376866,1.490614
15.409213,1.499669
15.443296,1.503135
15.474518,1.516427
15.507240,1.521565
15.544568,1.511873
15.576655,1.515380
15.609901,1.543070
15.644127,1.527465
15.676110,1.547488
15.708005,1.534945
15.743042,1.535034
15.779065,1.523227
15.810992,1.537518
15.847205,1.515746
15.878205,1.518924
15.913910,1.507861
15.948309,1.510089
15.978657,1.502857
16.011982,1.491014
16.043517,1.524467
16.079285,1.502103
16.111120,1.506535
16.146382,1.507360
16.178568,1.501035
16.212788,1.489352
16.248802,1.511264
16.278683,1.492738
16.312757,1.500548
16.347298,1.519494
16.377884,1.526119
16.413991,1.516015
16.447066,1.528063
16.482133,1.529708
16.517142,1.523121
16.547001,1.516743
16.582233,1.522669
16.617163,1.522844
16.651112,1.513605
16.682843,1.506117
16.716864,1.511588
16.751757,1.501901
16.785054,1.509969
16.814604,1.492034
16.855604,1.499342
16.888992,1.495865
16.919380,1.504908
16.951623,1.505072
16.986309,1.508130
17.021798,1.506699
17.053660,1.498122
17.091771,1.493259
17.127843,1.488408
17.159657,1.484750
17.191444,1.486200
17.227699,1.491935
17.258612,1.494881
17.294500,1.481033
17.328144,1.494682
17.361754,1.496787
17.390526,1.496519
17.428189,1.513193
17.459536,1.524184
17.494851,1.530834
17.529781,1.536283
17.561631,1.541424
17.596214,1.559571
17.627153,1.560435
17.661887,1.559636
17.692646,1.560560
17.729006,1.553597
17.760398,1.567071
17.793963,1.548631
17.828805,1.553615
17.865565,1.538812
17.899999,1.563777
17.929638,1.583578
17.964354,1.551237
17.997503,1.548828
18.031809,1.555855
18.063463,1.583152
18.100231,1.594243
18.131791,1.566415
18.164785,1.564647
18.197902,1.599516
18.233743,1.590645
18.265067,1.598319
18.299564,1.599104
18.331936,1.596184
18.364982,1.604498
18.395512,1.611996
18.430075,1.603213
18.463294,1.592781
18.496418,1.597366
