sim_time,speed_m_s
0.001057,0.106188
0.039532,0.483236
0.059176,0.675749
0.110569,1.297456
0.144514,1.562964
0.178086,1.922921
0.212042,2.355929
0.247889,2.769355
0.280634,2.914891
0.314939,0.072304
0.351451,0.071383
0.387328,0.107612
0.420566,0.099991
0.456587,0.094425
0.456587,0.094425
0.456587,0.094425
0.555182,0.064124
0.555182,0.064124
0.626914,0.014296
0.659999,0.005994
0.692366,0.016177
0.725910,0.020430
0.764342,0.008195
0.792207,0.040156
0.829438,0.022770
0.865037,0.003658
0.894397,0.010395
0.927792,0.014397
0.964475,0.026860
0.997790,0.035836
1.032179,0.017375
1.063809,0.010169
1.098237,0.015291
1.131711,0.005461
1.165909,0.026585
1.198928,0.047022
1.233933,0.034669
1.266286,0.037412
1.301911,0.005827
1.337100,0.002472
1.370809,0.028333
1.403112,0.009184
1.437034,0.047359
1.473241,0.004920
1.504792,0.005082
1.540202,0.007236
1.573919,0.009506
1.609502,0.001764
1.639355,0.007226
1.675527,0.005527
1.706392,0.003268
1.741625,0.005495
1.775446,0.000000
1.806791,0.000000
1.844237,0.000000
1.881424,0.000000
1.912894,0.000000
1.946900,0.000000
1.980419,0.001868
2.013216,0.001006
2.049236,0.000760
2.084319,0.000723
2.119446,0.000752
2.155261,0.000532
2.188843,0.001143
2.221682,0.002951
2.254943,0.000820
2.290772,0.000285
2.324406,0.000980
2.356570,0.001639
2.387409,0.003082
2.425720,0.000805
2.458859,0.000399
2.491396,0.001517
2.524928,0.001142
2.555206,0.000196
2.590184,0.000573
2.627355,0.001701
2.660090,0.001375
2.692791,0.000434
2.726100,0.001021
2.760624,0.000431
2.793912,0.000173
2.825317,0.000220
2.863649,0.000158
2.894400,0.002140
2.928994,0.003280
2.960756,0.000949
2.994671,0.000231
3.030131,0.000630
3.062369,0.000209
3.097016,0.000249
3.128298,0.001038
3.161188,0.000100
3.197851,0.000329
3.230232,0.000108
3.265435,0.000579
3.297072,0.000984
3.328237,0.000280
3.363230,0.000407
